FollowersCount,FriendsCount,ScreenName,Ratio,Points
1420,861,kiofwjjpTyq08Cz,1.6492450638792102,2341.9279907084783
803,276,okoshi943,2.9094202898550723,2336.264492753623
3114,4265,fwks7841,0.7301289566236812,2273.6215709261432
1568,1084,esoYtr,1.4464944649446494,2268.1033210332102
1254,718,kizuna_bluesky,1.7465181058495822,2190.133704735376
2092,2008,chonpappp,1.0418326693227091,2179.5139442231075
1695,1330,retro_mini,1.2744360902255638,2160.1691729323306
1638,1244,take61_0,1.3167202572347267,2156.7877813504824
1440,963,umasyaku,1.4953271028037383,2153.271028037383
823,321,jc3_ochinpotaro,2.5638629283489096,2110.059190031153
1939,1815,1h4d,1.06831955922865,2071.4716253443526
1255,766,fox_tsukune,1.6383812010443863,2056.168407310705
1416,983,shirakawayuuhi,1.4404883011190235,2039.7314343845371
1163,665,Rigenmei,1.7488721804511278,2033.9383458646616
1264,789,nou_74,1.6020278833967048,2024.9632446134347
1266,806,ayataross,1.5707196029776676,1988.5310173697271
1375,961,Komekko_Punch,1.4308012486992716,1967.3517169614984
1235,778,K_key_23,1.5874035989717223,1960.443444730077
2019,2084,joumonsugi,0.968809980806142,1956.0273512476008
832,356,h_makio,2.337078651685393,1944.4494382022472
1732,1548,reizouko_online,1.1188630490956073,1937.8708010335918
540,152,t_gsx250,3.5526315789473686,1918.421052631579
1747,1592,lionneko,1.0973618090452262,1917.09108040201
1823,1736,beybladeburst,1.0501152073732718,1914.3600230414747
1280,858,momosuke0319,1.491841491841492,1909.5571095571095
2083,2284,webmangamatome,0.9119964973730298,1899.688704028021
2730,3930,watari_drum,0.6946564885496184,1896.4122137404581
3071,4983,kyou_inu,0.6162954043748746,1892.6431868352397
610,199,ennbi4da,3.0653266331658293,1869.8492462311558
1706,1565,mochapo,1.0900958466453674,1859.7035143769967
1815,1773,maple__music,1.023688663282572,1857.9949238578681
1546,1288,kinobatta,1.200310559006211,1855.6801242236024
2079,2343,_9rwz,0.8873239436619719,1844.7464788732395
1841,1863,a_wolf_hh,0.988191089640365,1819.259796027912
1264,879,sin0428ab,1.4379977246871445,1817.6291240045507
1310,950,yamato20010316,1.3789473684210527,1806.421052631579
910,460,henteko07,1.9782608695652173,1800.2173913043478
622,215,UTUKE_live,2.8930232558139535,1799.460465116279
2392,3189,Darkness_hyouya,0.7500783944810285,1794.1875195986202
2085,2423,whysoserioooous,0.8605035080478746,1794.1498142798184
1304,948,1segani,1.3755274261603376,1793.6877637130801
2147,2577,edon_time,0.83313930927435,1788.7500970120295
1088,666,ASTRO_TITANG,1.6336336336336337,1777.3933933933934
2519,3573,ArihirOoooooooO,0.7050097956898964,1775.9196753428491
584,194,yurui_manga,3.0103092783505154,1758.020618556701
1606,1476,hataPRISMDLABO,1.0880758807588076,1747.449864498645
1572,1428,yoyoyo523,1.1008403361344539,1730.5210084033613
1322,1020,boc_yekkaz,1.296078431372549,1713.4156862745099
2924,4997,curazy_desk,0.5851510906543926,1710.9817890734441
906,481,r241606,1.8835758835758836,1706.5197505197505
1332,1041,Manukemono_sub,1.2795389048991355,1704.3458213256483
1548,1406,kero_BIRUGE,1.10099573257468,1704.3413940256046
825,400,minaraaaai,2.0625,1701.5625
1830,1969,YUSKNKOJA,0.9294057897409853,1700.812595226003
991,581,Dickun_,1.7056798623063683,1690.328743545611
2716,4378,GONZpistol,0.6203746002740977,1684.9374143444495
658,257,modeco_DC,2.5603112840466924,1684.6848249027237
1780,1890,anarchydenkii,0.9417989417989417,1676.4021164021165
2684,4342,rf0444,0.6181483187471212,1659.110087517273
2106,2685,jagaimo0622,0.7843575418994413,1651.8569832402234
1645,1644,calm_down8888,1.0006082725060828,1646.000608272506
1627,1619,gekka9,1.0049413218035825,1635.0395305744287
509,159,HI13406700,3.20125786163522,1629.440251572327
913,514,LuxAlice_,1.7762645914396886,1621.7295719844358
1512,1414,amadarea,1.0693069306930694,1616.7920792079208
1240,957,ama_ebi0,1.2957157784743991,1606.687565308255
1504,1410,NaturalPsi,1.0666666666666667,1604.2666666666667
1465,1360,__neglect__,1.0772058823529411,1578.1066176470588
894,512,kareneko02,1.74609375,1561.0078125
1748,1958,kannaV2_,0.8927477017364658,1560.5229826353423
884,501,rikunabitaro,1.7644710578842315,1559.7924151696607
1450,1356,kogeuirou,1.0693215339233038,1550.5162241887906
2399,3737,Tina_Harvel810,0.6419587904736419,1540.059138346267
2577,4318,cosmos366,0.5968040759610931,1537.964103751737
1684,1848,Agnu_U,0.9112554112554112,1534.5541125541126
1239,1002,82k3,1.2365269461077844,1532.056886227545
1551,1575,cocominyashima,0.9847619047619047,1527.3657142857144
1404,1294,ochqco,1.0850077279752706,1523.3508500772798
1811,2159,p_lolo,0.8388142658638258,1519.0926354793887
2730,4957,riz_ge2,0.5507363324591487,1503.5101876134759
637,276,AsapiOOOO,2.3079710144927534,1470.177536231884
2261,3478,KOU200412152,0.6500862564692352,1469.8450258769408
1559,1654,decopachi33,0.9425634824667473,1469.456469165659
1696,1961,hitokuiyama,0.8648648648648649,1466.8108108108108
1296,1148,bko_pigslicer,1.1289198606271778,1463.0801393728223
1835,2319,yulooks,0.7912893488572661,1452.0159551530833
2354,3874,TAZUN10,0.6076406814661848,1430.386164171399
2142,3208,Abul_Abbas_Ibn,0.6677057356608479,1430.2256857855361
1006,709,rpg_garochuwan,1.4188998589562765,1427.413258110014
320,72,peanuts_kara,4.444444444444445,1422.2222222222222
1144,924,YUSHI_DESU,1.2380952380952381,1416.3809523809523
1781,2258,Pride1073,0.7887511071744907,1404.7657218777679
962,662,raizudraw,1.4531722054380665,1397.95166163142
1308,1237,yuki53446021,1.0573969280517381,1383.0751818916733
534,207,melontei,2.579710144927536,1377.5652173913043
1045,800,piropiro6101,1.30625,1365.03125
1781,2327,Tyotasaburo,0.7653631284916201,1363.1117318435754
1080,858,volcano_power,1.2587412587412588,1359.4405594405594
788,457,step_alter,1.724288840262582,1358.7396061269146
1750,2256,MangaboxIndies,0.775709219858156,1357.491134751773
808,484,PTAN_DOFU,1.6694214876033058,1348.892561983471
1373,1399,sr7r_,0.9814152966404575,1347.4832022873481
814,492,barabara_baraba,1.6544715447154472,1346.739837398374
1436,1534,kei8l,0.9361147327249022,1344.2607561929597
1880,2638,giriguro,0.7126611068991661,1339.8028809704322
1394,1451,A0603Aruto,0.9607167470709855,1339.2391454169538
932,651,yuujigoushang,1.4316436251920124,1334.2918586789554
1347,1375,ay_tgb,0.9796363636363636,1319.5701818181817
1502,1714,sabanosuke_kuro,0.8763127187864644,1316.2217036172694
1191,1089,dif_engine,1.09366391184573,1302.5537190082644
1778,2428,gn_008re,0.7322899505766063,1302.011532125206
